iterations;threads;bakery;tas;tasbackoff
500;2;5;1;1
500;2;2;0;1
500;2;2;0;0
5000;2;9;4;2
5000;2;4;2;4
5000;2;6;3;1
50000;2;28;10;12
50000;2;21;12;9
50000;2;19;13;18
500000;2;219;117;115
500000;2;207;115;116
500000;2;202;98;147
500;3;0;0;1
500;3;0;0;1
500;3;0;0;1
5000;3;4;3;5
5000;3;4;3;9
5000;3;4;3;2
50000;3;37;36;13
50000;3;36;36;9
50000;3;37;36;17
500000;3;371;360;117
500000;3;401;439;195
500000;3;383;346;104
500;4;1;0;1
500;4;0;0;0
500;4;0;0;0
5000;4;6;6;3
5000;4;5;6;6
5000;4;5;6;6
50000;4;64;30;20
50000;4;55;40;19
50000;4;53;40;22
500000;4;543;402;232
500000;4;569;365;385
500000;4;500;417;219
500;5;0;0;1
500;5;0;0;3
500;5;1;0;0
5000;5;9;10;5
5000;5;10;9;11
5000;5;9;10;7
50000;5;99;91;23
50000;5;88;93;37
50000;5;93;82;44
500000;5;848;993;851
500000;5;1091;857;274
500000;5;840;752;339
500;6;1;0;1
500;6;1;1;0
500;6;1;1;1
5000;6;12;10;11
5000;6;11;12;6
5000;6;14;11;11
50000;6;115;104;36
50000;6;132;113;48
50000;6;119;105;40
500000;6;1164;1098;409
500000;6;1158;1210;875
500000;6;1335;1462;1200
500;7;1;0;0
500;7;1;0;6
500;7;1;0;3
5000;7;14;12;14
5000;7;16;12;15
5000;7;13;11;17
50000;7;139;119;45
50000;7;147;119;92
50000;7;194;124;37
500000;7;1954;1663;425
500000;7;2054;901;1110
500000;7;1881;1143;762
500;8;2;1;0
500;8;2;0;0
500;8;2;0;0
5000;8;68;17;18
5000;8;83;11;37
5000;8;152;12;9
50000;8;1461;177;86
50000;8;1173;179;98
50000;8;898;139;84
500000;8;6635;1283;712
500000;8;6254;1331;723
500000;8;8071;1354;1231
500;9;1;1;1
500;9;2;1;1
500;9;2;1;1
5000;9;37;11;15
5000;9;32;12;14
5000;9;49;12;11
50000;9;429;167;176
50000;9;1064;243;129
50000;9;1006;243;91
500000;9;9366;1896;1267
500000;9;8593;1839;898
500000;9;8276;2031;708
500;10;3;2;7
500;10;1;1;2
500;10;2;2;3
5000;10;51;20;8
5000;10;75;21;12
5000;10;50;21;12
50000;10;935;396;118
50000;10;1063;402;78
50000;10;1425;358;224
500000;10;13664;1621;1344
500000;10;13424;1584;1110
500000;10;11065;1799;821
500;11;2;0;1
500;11;2;0;2
500;11;3;1;4
5000;11;88;11;18
5000;11;74;10;44
5000;11;65;10;21
50000;11;1301;191;130
50000;11;1551;252;343
50000;11;1302;245;333
500000;11;16226;2066;1309
500000;11;15895;1882;1948
500000;11;18910;1870;1476
500;12;3;2;3
500;12;3;2;2
500;12;3;2;1
5000;12;85;25;17
5000;12;127;24;18
5000;12;88;11;18
50000;12;2050;275;174
50000;12;2040;306;187
50000;12;2113;261;114
500000;12;21317;2312;1398
500000;12;22893;2337;927
500000;12;21147;2340;1584
500;13;13;2;1
500;13;4;2;3
500;13;3;3;1
5000;13;145;25;18
5000;13;113;27;17
5000;13;121;35;19
50000;13;1967;554;99
50000;13;2277;611;157
50000;13;2305;623;170
500000;13;25359;5581;2091
500000;13;29458;5463;1388
500000;13;25862;2501;1029
500;14;3;2;4
500;14;5;3;1
500;14;4;2;3
5000;14;210;29;30
5000;14;305;38;59
5000;14;234;40;35
50000;14;2564;724;374
50000;14;2227;637;171
50000;14;2309;630;166
500000;14;28837;6498;1533
500000;14;23516;6401;1154
500000;14;17495;6181;1111
500;15;5;2;1
500;15;5;3;3
500;15;7;3;0
5000;15;112;32;55
5000;15;149;30;26
5000;15;95;30;16
50000;15;1578;584;293
50000;15;1582;672;400
50000;15;1504;357;138
500000;15;17574;3009;1346
500000;15;21708;3139;1903
500000;15;25053;2973;1694
